Agressor_Radio,Aggressor_Band,Agg_Channel,Victim_Radio,Victim_Band,Vic_Channel,EMI,RX_Power,Desense,Sensitivity 
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,46.0,5.16,0.4,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,48.0,5.16,0.4,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,50.0,2.33,0.4,2.33,-105.67)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,52.0,-8.08,0.4,-8.08,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,54.0,-6.86,0.4,-6.86,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,56.0,-5.44,0.4,-5.44,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,58.0,-4.45,0.4,-4.45,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,60.0,-3.6,0.4,-3.6,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,62.0,-2.53,0.4,-2.53,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,64.0,-1.32,0.4,-1.32,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,66.0,-0.91,0.4,-0.91,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,68.0,-2.38,0.4,-2.38,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,70.0,-3.27,0.4,-3.27,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,72.0,-1.82,0.4,-1.82,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,74.0,1.27,0.4,1.27,-106.73)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,76.0,4.89,0.4,4.89,-103.11)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,78.0,7.13,0.4,7.13,-100.87)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,80.0,6.6,0.4,6.6,-101.4)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,82.0,4.9,0.4,4.9,-103.1)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,84.0,6.88,0.4,6.88,-101.12)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,134.0,VHF_1 - Top,Close Air Support - FM Rx,86.0,7.47,0.4,7.47,-100.53)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,30.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,32.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,34.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,36.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,38.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,40.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,42.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,44.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,46.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,48.0,5.16,0.38,5.16,-102.84)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,50.0,2.33,0.38,2.33,-105.67)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,52.0,-8.08,0.38,-8.08,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,54.0,-6.86,0.38,-6.86,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,56.0,-5.44,0.38,-5.44,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,58.0,-4.45,0.38,-4.45,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,60.0,-3.6,0.38,-3.6,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,62.0,-2.53,0.38,-2.53,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,64.0,-1.32,0.38,-1.32,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,66.0,-0.91,0.38,-0.91,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,68.0,-2.38,0.38,-2.38,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,70.0,-3.27,0.38,-3.27,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,72.0,-1.82,0.38,-1.82,-108.0)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,74.0,1.27,0.38,1.27,-106.73)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,76.0,4.89,0.38,4.89,-103.11)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,78.0,7.13,0.38,7.13,-100.87)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,80.0,6.6,0.38,6.6,-101.4)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,82.0,4.9,0.38,4.9,-103.1)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,84.0,6.88,0.38,6.88,-101.12)
(VHF_2 - Bottom,Air Traffic Control - AM Tx,136.0,VHF_1 - Top,Close Air Support - FM Rx,86.0,7.47,0.38,7.47,-100.53)
